SR,DEW,TEM,TEM_MAX,TEM_MIN,WS_MAX,WS_MIN,WS,RH,RF
22.51,22.71,6.27,29.34,23.08,1.55,0.84,0.71,83.88,0.01
22.54,22.49,6.66,29.8,23.15,1.94,0.96,0.98,82.88,0.41
19.82,21.75,7.28,29.65,22.37,1.55,0.78,0.77,80.38,0.55
15.38,22.27,7.77,29.54,21.78,2.22,0.8,1.41,84.38,2.62
23.74,21.33,8.16,29.44,21.27,2.7,1.15,1.55,81.44,0.24
20.75,21.48,7.23,29.13,21.9,2.39,1.19,1.2,82.19,0.75
22.16,21.2,7.48,28.66,21.19,3.2,1.41,1.79,82.81,0.56
22.34,21.44,7.72,29.15,21.43,2.6,1.23,1.37,82.38,0.12
22.44,21.56,7.56,29.29,21.73,2.62,0.87,1.75,82.38,3.11
22.43,21.32,9.09,30.12,21.03,1.98,0.19,1.8,79.62,0.47
19.83,22.66,8.47,30.53,22.06,1.96,0.22,1.74,83.88,3.02
19.44,22.66,7.48,30.06,22.58,1.98,0.54,1.44,83.38,1.59
20.35,22.67,8.97,31.29,22.33,1.75,0.2,1.55,81.38,0.89
18.04,23.05,7.94,30.98,23.04,1.99,0.34,1.66,81.69,2.92
17.61,23.14,6.81,30.44,23.62,1.21,0.29,0.92,80.81,2.25
13.05,23.49,5.85,29.75,23.9,1.27,0.22,1.05,85.88,21.48
22.23,22.95,6.41,29.76,23.34,1.24,0.22,1.02,82.44,1.79
19.55,23.42,6.4,30.25,23.85,1.31,0.34,0.98,83.94,6.3
21.69,23.03,7.55,30.2,22.65,1.53,0.91,0.62,84.38,4.1
15.33,22.97,7.03,29.72,22.69,2.27,0.91,1.37,85.75,3.17
19.26,22.4,8.27,30.15,21.87,2.15,0.88,1.27,83.19,0.83
15.85,22.8,7.05,29.82,22.76,1.86,0.59,1.27,83.94,4.48
18.59,22.75,7.16,29.8,22.64,1.92,0.9,1.02,84.69,8.7
19.96,22.29,7.98,30.21,22.23,1.84,0.02,1.82,81.31,0.81
21.55,22.28,7.96,30.38,22.41,1.54,0.3,1.24,79.44,0.94
14.3,22.4,6,29.37,23.37,1.41,0.51,0.91,81.38,5.93
22.18,22.66,7.4,31.2,23.8,0.99,0.42,0.57,77.81,1.87
18.9,22.33,8.65,31.3,22.66,1.2,0.08,1.12,77.38,3.14
23.56,22.86,7.12,30.67,23.55,1.38,0.23,1.14,80,2.2
23.77,21.11,9.13,30.73,21.6,2.23,0.34,1.9,75.5,0.5
23.91,22.19,8.8,30.77,21.97,1.72,0.16,1.55,79.62,1.11
24.04,21.9,9.83,31.63,21.81,1.64,0.13,1.51,77.62,0.32
23.43,21.83,8.71,30.56,21.86,1.54,1.07,0.47,78.94,0.93
23.69,22.44,8.3,31.18,22.87,1.35,0.8,0.55,78.69,0.02
22.01,23.3,6.52,30.8,24.27,1.58,0.23,1.35,80.44,0.54
21.76,23.51,4.09,29.26,25.16,1.42,0.5,0.92,81.75,0.92
12.19,22.98,3.75,28.22,24.47,1.02,0.21,0.81,83.5,2.74
21.86,23.58,6.88,30.73,23.84,1.73,0.16,1.56,83.44,6
17.76,22.98,5.38,29.65,24.28,1.74,0.18,1.56,81.44,2.72
18.47,23.26,4.41,28.55,24.14,1.91,0.26,1.66,86.25,4.65
15.3,23.48,4.71,28.78,24.07,2.05,0.78,1.27,87.62,29.53
23.52,22.97,5.24,28.96,23.72,2.04,0.98,1.07,85,2.16
21.29,23.76,5.94,30.15,24.21,1.45,0.7,0.75,84.56,3.13
21.31,24.09,5.38,29.97,24.59,1.64,0.41,1.23,85.12,14.2
14.78,24.22,5.1,30.14,25.04,2.12,0.18,1.95,85.12,2.21
22.93,23.37,6.49,31.04,24.55,1.05,0.32,0.74,80,4.12
17.33,23.94,4.66,29.03,24.37,1.23,0.16,1.07,87,11.08
15.39,23.56,6.34,30.27,23.93,1.38,0.16,1.22,83.81,16.62
17.74,23.65,6.59,30.24,23.65,1.69,0.17,1.52,85.19,37.8
17.37,23.58,5.2,28.94,23.75,2.02,0.87,1.16,87.5,36.76
18.59,23.68,6.17,29.97,23.8,1.53,0.48,1.05,85.25,10.01
17.8,23.87,4.66,29.24,24.58,1.22,0.28,0.94,86.56,4.28
15.59,24.4,2.96,27.58,24.61,2.34,0.51,1.84,92,21.73
15.89,23.09,3.6,27.3,23.7,1.73,0.54,1.2,88.75,49.16
18.43,22.97,3.88,27.03,23.15,1.83,0.8,1.02,90.19,18.57
19.85,23.19,5.17,28.23,23.05,1.61,0.92,0.69,88.44,14.98
16.33,23.4,3.65,27.45,23.8,1.79,0.72,1.08,88.5,3.39
22.02,23.43,5.1,28.85,23.75,2.07,0.7,1.38,86.88,7.27
13.67,24,4.06,28.34,24.28,2.13,0.84,1.3,89.31,5.92
20.74,24.02,6.38,30.37,24,1.75,0.55,1.2,84.88,4.45
20.04,24.56,5.91,31,25.09,1.55,0.47,1.08,86,5.36
15.95,23.91,4.55,28.84,24.3,2.02,0.77,1.26,88,6.9
18.96,23.25,2.9,27.22,24.33,1.24,0.34,0.9,86.88,3.02
19.75,23.18,6.04,29.35,23.31,1.2,0.27,0.92,84.44,3.33
18.1,24.26,5.68,30.89,25.21,1.3,0.21,1.09,82.56,11.05
21.59,23.53,5.7,30.49,24.8,0.95,0.24,0.71,80.38,6.89
20.21,23.58,6.09,30.51,24.41,1.23,0.32,0.91,82.38,1.67
22.57,23.69,8.48,32.11,23.62,1.27,0.65,0.62,80.31,4.22
20.98,24.74,4.55,30.5,25.94,2.04,0.09,1.95,84.81,2.89
20.21,24.89,2.95,28.54,25.59,1.7,0.77,0.94,89.56,9.82
20.09,24.89,2.74,28.07,25.32,1.56,0.79,0.77,91.31,10.12
21.96,24.65,4.45,29.75,25.3,1.96,0.46,1.5,87.31,3.56
19.27,24.09,2.67,27.32,24.65,1.93,0.75,1.18,90,9.95
18.81,23.4,6.2,30.58,24.39,0.95,0.19,0.77,81.31,2.6
19.98,24.21,4.39,29.23,24.83,1.45,0.82,0.62,86.06,2.43
20.19,24.09,4.91,30.3,25.38,1.14,0.31,0.83,82.31,3.04
22.6,24.58,2.94,28.06,25.12,1.8,0.95,0.85,90.06,6.24
18.11,24.54,4.12,29.23,25.11,1.76,0.53,1.23,88.81,25.9
20.89,24.58,2.98,28.09,25.12,2.45,0.83,1.62,90.44,2.13
20.27,24.28,4.39,29.03,24.64,1.8,0.8,1,88.31,17.91
20.84,24.36,3.12,27.97,24.85,1.56,0.77,0.8,89.69,2.55
20.94,24.83,3.88,29.05,25.15,1.66,0.12,1.55,89.88,12.16
19.47,24.45,5.34,30.03,24.7,1.86,0.38,1.48,86.94,14.7
21.69,24.87,4.83,30.33,25.51,1.73,0.11,1.62,85.69,6.55
20.82,24.98,3.04,28.58,25.54,1.8,0.83,0.98,90.62,10.79
20.33,24.48,3.67,29.36,25.69,1.58,0.62,0.96,85.31,4.78
17.96,24.23,4.18,29.36,25.18,1.52,0.77,0.75,85.94,13.87
19.65,24.17,4.63,29.69,25.05,1.55,0.38,1.18,85.25,7.43
19.39,24.34,5.38,30.43,25.04,1.84,0.59,1.25,84.44,9.01
20.29,23.83,6.31,30.59,24.28,1.41,0.49,0.91,82.88,4.91
16.07,24.78,1.73,27.05,25.32,1.49,0.47,1.02,92.25,23.24
10.92,23.9,2.16,27.12,24.97,1.04,0.34,0.7,88.5,12.7
18.45,23.43,5.48,29.98,24.49,1.28,0.48,0.8,81.75,8.79
17.99,24,4.86,29.49,24.62,1.3,0.44,0.86,85,3.76
18.13,23.55,2.7,27.87,25.16,1.06,0.3,0.76,84.94,3.53
16.53,24.03,4.97,30.26,25.3,1.43,0.34,1.09,81.88,2.2
15.01,24.73,2.03,27.74,25.71,2.07,0.19,1.88,88.69,6.71
18.32,24.64,4.35,29.49,25.15,1.3,0.62,0.67,86.19,2.02
21.27,25.19,4.66,30.24,25.58,2.01,0.72,1.29,87.25,3.72
17.27,25.29,2.44,28.08,25.65,1.52,0.7,0.82,92,11.93
18.94,24.9,4.69,29.9,25.21,1.99,0.8,1.2,88.25,3.07
18.69,24.51,2.12,27.62,25.5,1.24,0.21,1.03,88.5,5.76
16.16,24.76,3.66,28.77,25.11,1.66,0.45,1.2,89.31,9.23
12.48,23.83,4.27,29.47,25.19,1.08,0.23,0.85,82.25,9.75
20.56,24.01,5.36,30.85,25.49,1.53,0.29,1.25,80.19,6.57
19.36,24.31,4.76,30.15,25.39,1.07,0.39,0.68,84.06,3.04
18.64,24.34,5.34,30.46,25.12,1.01,0.41,0.59,83.31,2.8
14.27,24.81,2.83,28.49,25.67,1.51,0.6,0.91,88.44,14.72
16.34,23.66,4.8,30.37,25.58,0.81,0.02,0.79,78.5,12.41
17.96,24.59,3.94,29.27,25.33,1.42,0.17,1.24,84.62,7.87
17.56,24.17,3.73,29.65,25.93,0.7,0.06,0.64,82.44,11.05
16.32,24.72,3.16,28.33,25.17,1.95,0.52,1.44,90.31,12.58
14.91,23.3,4.2,28.26,24.07,1.89,0.29,1.6,84.56,3.39
21.89,23.4,6.22,30.83,24.62,1.14,0.36,0.78,78.88,0.72
18.65,24.35,4.67,29.8,25.13,1.62,0.84,0.79,84.56,2.89
22.07,24.43,5.09,30.08,24.99,1.12,0.77,0.34,84.88,6.38
16.22,24.47,4.61,29.67,25.06,1.37,0.88,0.49,87,6.49
20.53,24.15,3.79,29.05,25.26,1.16,0.32,0.84,84.31,4.03
19.26,24.06,4.34,29.25,24.9,1.09,0.69,0.41,84.38,2.13
19.1,23.43,5.09,30.5,25.41,1.11,0.46,0.65,78.25,0.44
23,23.64,5.96,31.2,25.25,1.31,0.2,1.11,78.81,0.5
23.19,24.73,4.55,30.37,25.82,1.62,0.56,1.05,84.5,1.46
19.13,24.68,4.12,29.29,25.17,1.55,0.53,1.02,87.19,1.63
22.21,24.26,4.57,29.51,24.94,1.37,0.29,1.08,84.56,2.02
20.5,24.37,4.67,30.22,25.55,1.91,0.16,1.73,84.19,2.35
18.43,24.44,4.24,29.3,25.05,1.33,0.86,0.48,86.12,1.89
15.82,23.95,4.65,29.48,24.83,1.73,0.1,1.63,83.75,3.76
21.02,23.5,4.36,29.9,25.54,1.44,0.41,1.02,80.06,0.83
20.93,23.15,5.55,30.41,24.87,1.56,0.15,1.41,79.12,1.72
17.13,23.75,5.64,30.33,24.69,1.99,0.34,1.65,82.69,5.18
12.4,23.35,2.66,27.01,24.36,1.85,0.21,1.63,87.62,13.07
20.75,21.05,6.42,29.93,23.51,0.77,0.27,0.49,70.62,1.81
18.91,22.71,4.84,29.91,25.08,1.57,0.65,0.93,77.12,2.12
17.62,23.37,5.16,29.64,24.48,1.07,0.8,0.27,81.31,2.55
14.26,23.17,5.25,29.51,24.26,1.93,0.53,1.41,82,8.92
13.41,22.66,5.43,29.08,23.65,2.22,0.74,1.47,81.19,2.98
16.37,23.03,4.7,29.05,24.35,1.38,0.21,1.17,82.38,8.61
18.14,22.76,5.49,29.36,23.87,1.81,0.13,1.67,82,1.92
19.42,22.98,4.05,28.48,24.43,1.16,0.63,0.53,83.06,4.66
22.15,23.01,5.45,29.88,24.43,1.88,0.04,1.84,79.94,4.1
19.59,23.09,4.8,29.55,24.75,1.44,0.55,0.89,80.19,2.82
13.17,23.6,3.7,28.23,24.52,1.91,0.7,1.21,86.44,9.9
20.91,22.95,4.94,29.38,24.45,1.43,0.45,0.98,80.81,3
18.31,23.06,4.52,29.45,24.94,1.36,0.1,1.26,79.19,11.5
18.91,23.84,3.98,29.11,25.13,1.66,0.53,1.12,84.69,5.64
17.42,23.58,4.16,28.8,24.65,1.44,0.12,1.32,84.56,4.69
19.27,23.55,3.93,28.36,24.43,1.74,0.34,1.4,85.19,3.93
22.46,22.94,5.94,30.62,24.68,1.31,0.18,1.13,78.12,4.02
14.62,24.05,3.25,28.19,24.94,1.44,0.8,0.63,87.75,13.53
17.42,23.15,4.39,28.7,24.31,1.2,0.34,0.84,82.62,5.37
15.8,23.12,3.7,28.62,24.92,1.36,0.13,1.23,82,4.16
23.18,22.93,5.3,29.95,24.65,0.83,0.21,0.62,78,1.52
19.92,23.67,3.68,28.24,24.56,1.8,0.7,1.1,86.94,4.24
14.92,23.8,3.7,28.23,24.55,1.95,0.9,1.05,87.44,5.58
12.48,23.63,3.04,27.38,24.34,1.3,0.83,0.47,89.12,11.09
19.59,23.73,5.5,29.09,23.6,1.92,0.99,0.93,88.31,28.14
14.53,21.9,4.19,27.95,23.76,1.14,0.63,0.51,79.62,40.49
17.89,22.26,5.41,29.54,24.13,1.29,0.64,0.65,76.94,0.68
21.86,22.8,5.56,29.77,24.21,1.6,0.44,1.16,78.06,0.2
20.26,23.17,4.43,28.33,23.9,1.47,0.59,0.88,84.06,0.08
21.18,23.37,6.07,30.04,23.97,1.36,0.53,0.83,82.44,0.45
16.73,23.36,4.23,28.95,24.73,1.13,0.64,0.5,83.06,1.71
15.88,23.23,5.38,29.3,23.92,1.75,0.9,0.85,83.25,2.55
18.56,23.12,5.84,30.44,24.6,1.14,0.55,0.59,78.94,1.49
19.02,23.88,5.05,29.46,24.4,1.35,0.9,0.45,85.81,1.35
22.37,23.94,3.59,28.65,25.06,1.45,0.55,0.9,85.75,0.8
21.91,23.79,5.26,30.1,24.84,1.24,0.83,0.41,83.5,2.61
12.89,23.48,4.62,29.07,24.44,1.34,0.67,0.67,83.81,7.2
22.22,23.25,5.09,29.86,24.76,1.85,0.26,1.59,79.69,0.59
14.68,23.76,4.19,28.59,24.4,1.41,0.53,0.88,84.81,1.91
14.55,23.78,3.55,28.72,25.16,1.94,0.43,1.51,84.81,2.99
18.77,23.41,4.2,29.37,25.17,1.7,0.16,1.53,81.94,1.11
15.71,23.33,4.38,29.51,25.15,1.05,0.01,1.04,80.06,3.72
14.05,23.74,4.45,29.33,24.87,1.61,0.75,0.86,83.5,4.27
16.32,23.78,3.24,27.85,24.61,1.83,0.84,0.99,88.56,12.34
19.71,23.3,3.96,28.48,24.51,1.31,0.52,0.8,83.5,4.86
17.06,23.65,4.33,28.72,24.39,1.77,0.44,1.34,85.5,4.67
18.73,23.73,4.16,27.75,23.59,2.14,1.09,1.05,89.62,6.96
20.01,23.83,4.63,28.82,24.19,1.96,0.73,1.23,87,3.54
14.88,23.91,3.76,28.33,24.58,2.21,0.84,1.37,87.69,11.4
20.14,23.45,5.77,29.82,24.05,1.37,0.71,0.65,83.62,1.7
19.45,23.9,2.77,27.15,24.38,2.17,0.19,1.98,90.56,10.65
14.5,22.65,4.87,28.93,24.06,1.36,0.06,1.3,82,8.16
21.25,23.48,4.26,28.88,24.62,1.5,0.5,1,85.38,9.86
16.44,22.34,4.2,27.78,23.58,1.24,0.48,0.77,83.44,9.92
12.92,23.2,3.2,26.91,23.71,2.22,0.96,1.26,89.94,28.82
19.21,23.01,5.12,28.76,23.64,1.38,0.51,0.87,85.5,12.09
17.59,23.66,3.59,27.63,24.04,1.41,0.72,0.69,89.38,17.41
15.15,22.84,3.12,26.83,23.72,2.1,0.96,1.15,88.75,18.25
19.58,22.58,4.56,28.33,23.76,2.48,0.75,1.73,83.06,4.34
18.26,22.73,5.73,29.76,24.03,1.64,0.02,1.62,79.5,5.79
17.44,22.75,5.05,29.83,24.79,1.05,0.33,0.73,77.94,1.61
19.29,23.4,5.09,29.64,24.55,1.54,0.48,1.06,82.19,1.85
19.78,23.63,5.54,30.5,24.96,1.06,0.64,0.42,80.88,2.08
22.31,23.23,5.38,30.19,24.81,1.57,0.59,0.97,80.94,2.31
17.38,22.8,5.66,30.08,24.42,1.39,0.48,0.91,78,2.22
18.79,23.08,4.45,29.53,25.08,1.07,0.36,0.71,79.81,3
21.02,23.87,5.71,29.79,24.08,1.88,0.77,1.11,85.38,3.95
20.69,23.77,4.9,29.23,24.33,1.63,0.33,1.31,84.81,5.18
11.71,23.41,4.24,28.76,24.52,1.51,0.45,1.06,84.69,14.93
18.41,22.76,5.33,29.26,23.94,1.54,0.19,1.35,80.56,4.9
9.64,23.12,3.68,27.86,24.17,1.76,0.25,1.51,85.94,16.16
20.7,21.65,6.18,30.07,23.89,1.11,0.31,0.8,73.06,0.68
17.59,23.06,4.23,28.94,24.7,1.45,0.13,1.32,80.62,1.86
21.43,23.8,5.01,30.13,25.12,1.46,0.31,1.14,81.38,1.76
16.76,24.22,1.89,26.99,25.1,1.8,0.09,1.7,89.94,12.77
20.4,22.93,7.08,30.94,23.86,1,0.56,0.44,78.62,4.04
16.77,24.08,4.17,29.3,25.14,1.85,0.52,1.34,86.12,9.86
17.74,23.74,4.24,28.86,24.62,2.06,0.86,1.2,86.75,16.23
18.73,23.23,5.14,29.9,24.75,1.35,0.07,1.28,80.06,2.24
19.66,23.8,1.73,26.76,25.03,1.23,0.12,1.12,88.06,6.68
20.51,24.52,5.5,30.3,24.8,1.37,0.65,0.72,87.38,5.41
19.78,24.38,5.45,30.27,24.82,1.33,0.3,1.03,87.06,19.46
15.24,24.51,5.03,29.62,24.59,1.87,0.1,1.77,88.69,15.66
14.7,24.1,2.38,26.84,24.46,1.65,0.77,0.88,92.81,41.76
16.84,23.11,5.44,29.3,23.86,1.62,0.66,0.97,82.56,2.09
21.98,23.5,5.86,30.55,24.68,1.56,0.12,1.45,81.19,1.48
17.04,23.94,3.52,28.08,24.55,2.02,0.79,1.23,88,11.28
11.27,23.27,4.08,28.33,24.26,2.69,0.8,1.88,85.88,17.99
6.91,23.3,3.21,27.25,24.04,3.75,1.34,2.41,89.31,54.57
16.79,23.08,5.92,29.82,23.9,1.58,0.8,0.77,81.44,3.03
19.93,23.71,5.88,30.74,24.87,1.31,0.72,0.59,81.56,4.78
17.74,23.81,3.1,26.97,23.87,2.32,0.95,1.38,91.38,37.7
18.17,22.75,5.41,28.66,23.26,1.59,0.27,1.32,84.75,10.09
13.13,23.34,4.09,28.32,24.23,1.88,0.58,1.3,86.62,14.53
5.28,23.07,3.79,27.29,23.49,2.03,0.99,1.04,89.31,29.05
15.56,23.05,4.07,27.89,23.83,2.28,0.91,1.37,85.69,19.42
16.45,23.23,5.16,29.14,23.98,1.78,0.8,0.98,84.06,5.34
21.06,23.14,4.9,29.02,24.12,1.44,0.59,0.84,82.62,1.88
22.83,22.51,5.01,29.81,24.81,0.98,0.27,0.71,76.5,1.25
15.15,23.37,3.73,28.24,24.51,1.63,0.48,1.15,85.31,11.98
17.7,22.79,5.82,29.23,23.4,1.38,0.73,0.64,82.5,4.24
18.81,23.28,5.33,29.76,24.43,1.79,0.48,1.3,82.81,3.9
10.29,23.88,3.23,27.16,23.93,2.77,0.88,1.89,92.12,11.88
19,23.29,4.07,27.84,23.77,1.54,0.84,0.7,89.12,4.17
19.24,22.46,3.4,26.98,23.57,0.98,0.46,0.52,83.56,4.8
17.84,23,3.58,27.27,23.69,2.53,0.23,2.3,87.62,3.66
14.56,23.04,4.88,28.69,23.8,1.88,0.8,1.08,84.56,5.12
19.87,22.87,2.77,27.37,24.6,0.85,0.28,0.57,84.25,3.49
20.02,23.48,6.15,30.09,23.95,1.22,0.49,0.73,82.75,2.04
20.3,23.96,6.79,30.94,24.15,1.99,0.34,1.66,84.38,9.83
16.73,24.5,2.21,27.19,24.98,2.19,0.91,1.27,91.94,11.37
18.49,23.75,4.27,28.8,24.54,2.39,0.91,1.48,88.5,7.03
18.44,23.92,2.88,27.36,24.48,1.65,0.77,0.88,90.44,15.64
19.34,23.8,4.55,28.88,24.34,2.03,0.73,1.3,87.25,18.41
16.54,23.7,4.79,28.8,24.01,1.14,0.71,0.43,86.38,16.25
17.67,23.69,4.52,28.55,24.03,2.02,0.37,1.65,86.56,8.04
14.77,23.37,2.77,26.87,24.09,1.7,0.26,1.44,88.94,11.75
17,22.43,5.91,28.82,22.92,2.39,0.23,2.15,83,0.2
19.31,22.6,7.2,29.68,22.48,1.91,0.44,1.47,82.31,3.25
18.49,22.75,4.75,29.47,24.72,1.06,0.23,0.84,78.56,0.54
23.44,22.34,7.86,31.54,23.67,1.01,0.49,0.52,74.06,0.01
23.95,22.69,6.55,31.73,25.18,1.09,0.15,0.94,73.44,0.01
23.09,23.56,3.86,29.55,25.69,1.38,0.39,0.98,79.75,0.24
18.08,23.34,5.16,30.19,25.03,1.75,0.76,0.99,79.56,0.26
21.19,23.9,5.02,29.68,24.65,1.77,0.47,1.29,84.69,0.13
20.72,23.62,5.15,29.26,24.12,2.23,1.19,1.05,85.44,0.75
21.92,23.69,5.61,30.08,24.47,1.62,1,0.63,83.75,1.46
21.76,23.49,5.15,30.17,25.02,1.3,0.53,0.78,81.62,2.5
20.34,23.62,5.74,30.08,24.33,1.6,0.62,0.98,83.38,5.25
18.04,23.89,4.44,28.89,24.45,1.75,0.41,1.34,87.81,10
17.25,23.44,3.08,27.22,24.14,1.88,0.84,1.04,89.31,13.57
18.15,23.3,3.68,27.63,23.96,1.57,0.98,0.59,87.88,11.88
18.15,23.29,5.55,29.12,23.58,1.53,0.29,1.24,85.5,8.36
17.72,23.26,4.2,27.94,23.73,1.48,0.23,1.25,87.44,12.8
20.61,22.53,6.98,30.11,23.13,1.24,0.12,1.12,80.12,3.63
17.57,23.3,6.06,29.87,23.81,1.38,0.65,0.73,81.94,4.56
18.56,23.47,5.71,29.75,24.04,1.63,0.34,1.29,85.06,2.47
13.95,24.1,2.02,26.58,24.55,1.64,0.23,1.41,91.94,10.88
6.88,23.41,3.61,27.67,24.06,1.34,0.09,1.26,88.25,61.41
10.84,23.59,2.85,27.01,24.16,1.02,0.33,0.7,90.25,64.29
13.14,23.68,3.48,27.49,24,1.55,0.58,0.98,89.56,0.71
16.87,23.33,5.12,29.69,24.55,1.98,0.2,1.78,84.12,1.74
10.49,23.46,2.66,26.89,24.23,1.84,0.29,1.55,89.69,11.62
16.59,23.69,4.83,28.69,23.87,1.46,0.77,0.7,88.38,12.85
17.96,23.49,6.54,29.98,23.44,1.73,0.91,0.82,85.31,5.55
13.89,22.65,4.21,27.05,22.83,1.97,0.43,1.54,88.38,8.77
17.88,23.46,3.33,27.14,23.81,1.63,0.42,1.21,89,3.7
20.5,23.48,4.92,29.23,24.3,2.17,0.78,1.39,85.12,1.85
14.55,23.71,4.38,28.51,24.13,1.23,0.84,0.39,87.31,22.59
19.32,24.08,4.78,29.1,24.32,1.4,0.79,0.61,87.62,6.91
20.51,24.24,5.23,29.37,24.15,1.7,0.39,1.3,87.94,19.45
19.41,23.86,5.59,29.83,24.24,1.36,0.69,0.67,85.25,5.51
22.07,23.8,5.07,30.12,25.05,1.31,0.18,1.13,82.19,1.92
19.88,23.75,6.35,30.56,24.21,1.68,0.24,1.45,82.69,2
19.67,24.18,5.3,29.6,24.3,1.77,0.73,1.02,87.12,4.83
18.64,23.65,3.45,28.51,25.05,1.06,0.23,0.84,84,9.7
19.16,24.01,3.94,28.98,25.05,1.7,0.11,1.59,85.94,20.04
16.38,23.83,4.76,28.54,23.78,1.83,0.88,0.95,89.12,18.91
15.75,22.7,6.09,29.25,23.16,1.23,0.5,0.73,82.56,3.87
8.94,23.01,5.62,29.4,23.78,1.65,0.53,1.12,83.94,27.62
9.14,23.53,4.89,28.28,23.39,2.26,0.79,1.47,90.69,32.94
13.51,22.76,5.59,28.58,23,1.47,0.78,0.69,85.94,17.15
4.07,23.19,2.91,26.12,23.2,1.93,0.49,1.44,92.06,28.95
7.51,23.72,2.91,26.35,23.44,2.24,0.7,1.55,93.25,23.13
13.51,23.81,1.59,25.61,24.01,2.52,0.94,1.58,94.81,79.36
12.57,23.47,3.27,26.76,23.49,2.26,1.1,1.16,92.44,19.32
14.67,23.65,6.69,29.47,22.78,1.77,0.79,0.98,87.94,12.4
16.78,24.35,5.85,29.88,24.03,1.46,0.43,1.04,88.56,16.18
15.87,24.39,3.92,28.12,24.2,2.37,0.47,1.9,92.19,20.56
18.78,23.75,2.68,26.83,24.15,1.95,0.27,1.69,90.69,10.51
15.55,23.51,5.16,29.03,23.87,1.32,0.71,0.6,85.31,3.8
14.64,23.56,4.28,29.16,24.88,0.65,0.1,0.55,82.94,11.85
16.5,23.65,3.92,27.88,23.96,1.7,0.7,1,89.44,5.7
17.78,22.75,6.8,29.91,23.11,1.46,0.32,1.14,81.88,5.13
18.33,22.88,6.25,29.79,23.53,1.41,0.34,1.07,81.56,3.51
21.13,23.16,6.48,29.66,23.19,2.01,1.06,0.95,84.44,1.42
19.49,23.24,5.61,29.04,23.43,1.65,0.37,1.28,86.31,1.64
20.79,23.08,6.68,30.24,23.55,1.43,0.58,0.85,81.25,0.94
18.5,23.36,5.7,29.94,24.24,1.56,0.61,0.96,82.81,3.68
20.38,22.6,7.38,30.27,22.9,1.16,0.75,0.41,81.56,1.05
